"date","league_id","concluded","event_type"
527,1,1,QUARTERED_ONE_SHOT_SCORING
535,1,1,QUARTERED_TWO_SHOT_SCORING
539,1,1,ENDURANCE_RACE
547,1,1,QUARTERED_ONE_SHOT_SCORING
555,1,1,QUARTERED_ONE_SHOT_SCORING
563,1,1,ENDURANCE_RACE
567,1,1,QUARTERED_ONE_SHOT_SCORING
575,1,1,QUARTERED_TWO_SHOT_SCORING
587,1,1,QUARTERED_ONE_SHOT_SCORING
595,1,1,QUARTERED_TWO_SHOT_SCORING
599,1,1,QUARTERED_TWO_SHOT_SCORING
607,1,1,QUARTERED_TWO_SHOT_SCORING
615,1,0,QUARTERED_ONE_SHOT_SCORING
623,1,0,QUARTERED_TWO_SHOT_SCORING
627,1,0,ENDURANCE_RACE
635,1,0,ENDURANCE_RACE
